#{"t_start": 1746538978.3388743, "env_id": "Pendulum-v1"}
r,l,t
-913.010586,200,91.978999
-1245.293298,200,92.075043
-873.675385,200,92.171119
-904.676381,200,92.270445
-993.029247,200,92.365342
-1021.827642,200,92.462625
-1021.098213,200,92.558902
-1117.815071,200,92.654675
-1010.886385,200,93.453777
-868.282475,200,93.555275
-776.698091,200,93.655697
-807.711927,200,93.750758
-931.826963,200,93.845953
-808.439356,200,93.941173
-1225.966521,200,94.034898
-1331.487912,200,94.129303
-1183.890483,200,94.224155
-812.984921,200,94.32127
-1357.189408,200,95.094061
-751.813375,200,95.188216
-1030.966652,200,95.281912
-1233.485567,200,95.377327
-1011.293953,200,95.473905
-822.315986,200,95.56883
-996.20475,200,95.663236
-996.445691,200,95.759059
-1308.38763,200,95.853597
-1012.490076,200,95.948167
-875.762152,200,96.738239
-1505.601798,200,96.832005
-934.95761,200,96.927319
-1254.817171,200,97.021611
-814.936079,200,97.114848
-1166.715793,200,97.210264
-878.571453,200,97.306397
-882.701821,200,97.399951
-795.107912,200,97.493753
-1276.254697,200,97.588628
-1049.459806,200,98.376838
-1043.140044,200,98.473165
-856.008809,200,98.567708
-1023.090873,200,98.661196
-976.98972,200,98.756181
-1171.797839,200,98.84993
-1596.337645,200,98.943542
-892.754622,200,99.043259
-1018.00031,200,99.138667
-1393.145113,200,99.233009
-880.665919,200,99.327003
-908.103249,200,100.110103
-985.598947,200,100.203498
-860.435212,200,100.296632
-747.791177,200,100.392996
-1181.573016,200,100.486068
-1436.597638,200,100.578732
-1537.093412,200,100.671294
-1395.309351,200,100.763776
-885.08736,200,100.858399
-932.48801,200,100.95118
-1327.482822,200,101.733908
-758.290352,200,101.829164
-1438.408742,200,101.923317
-765.378605,200,102.018511
-911.087738,200,102.113853
-1300.438525,200,102.208181
-862.726159,200,102.303009
-832.981914,200,102.396814
-1413.068068,200,102.493307
-1005.698886,200,102.588294
-985.120868,200,103.368533
-904.826334,200,103.466667
-1279.834854,200,103.563654
-905.005759,200,103.662187
-992.903143,200,103.759259
-999.614497,200,103.858288
-894.528554,200,103.955872
-1522.029635,200,104.054437
-991.192292,200,104.15203
-749.96731,200,104.250583
-1011.588252,200,105.043821
-1018.319613,200,105.140123
-874.450772,200,105.234737
-999.654509,200,105.328825
-678.437119,200,105.423275
-885.887342,200,105.519372
-827.745443,200,105.614185
-1305.356028,200,105.70938
-1307.901933,200,105.804314
-1232.408022,200,105.899456
-1531.133436,200,105.993948
-1013.976626,200,106.767804
-643.300457,200,106.864718
-866.980103,200,106.95893
-1110.632412,200,107.054132
-1330.53398,200,107.149927
-1163.708457,200,107.243725
-872.128428,200,107.339656
-1195.796145,200,107.434925
-756.901363,200,107.530758
-1016.681847,200,107.624931
-1192.123097,200,108.420971
-1354.606743,200,108.515665
-1036.747583,200,108.610436
-1138.034895,200,108.707275
-1317.593061,200,108.802621
-749.943572,200,108.898021
-866.130012,200,108.992986
-1368.921408,200,109.087922
